rssi,rsrp,rsrq,rssnr,mPci,mEarfcn,Cell_mPci,Cell_rssi,Cell_rsrp,Cell_rsrq,epoch
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079494.698854
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079495.002607
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079495.255686
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079495.526101
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079495.846744
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079496.141346
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079496.448176
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079496.750791
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079497.034880
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079497.340657
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079497.650946
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079497.945649
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079498.244753
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079498.546060
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079498.838938
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079499.139628
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079499.432816
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079499.745178
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079500.018296
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079500.277825
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079500.558712
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079500.846572
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079501.140804
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079501.473232
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079501.783278
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079502.071446
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079502.367329
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079502.690585
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079502.985601
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079503.291539
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079503.582303
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079503.891454
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079504.184217
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079504.489464
-53,-86,-10,24,423,66536,423,-51,-82,-9,1688079504.808897
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079505.074668
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079505.330238
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079505.630653
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079505.930568
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079506.247194
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079506.532614
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079506.833376
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079507.121931
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079507.429221
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079507.733635
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079508.024512
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079508.318627
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079508.623416
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079508.929840
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079509.226007
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079509.534543
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079509.840186
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079510.100589
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079510.374249
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079510.667648
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079510.958774
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079511.251763
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079511.550809
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079511.834039
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079512.118760
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079512.426122
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079512.729813
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079513.020757
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079513.319983
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079513.611394
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079513.906839
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079514.200078
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079514.522102
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079514.830269
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079515.097292
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079515.355851
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079515.654468
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079515.931843
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079516.223811
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079516.511823
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079516.806230
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079517.086441
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079517.382210
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079517.660917
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079517.947594
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079518.223600
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079518.517463
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079518.822856
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079519.118025
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079519.408277
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079519.715009
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079519.985426
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079520.233418
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079520.510810
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079520.815773
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079521.108229
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079521.402051
