Pkt_no,Time,src,dst,length,ttl,Type,RTT,lat,lon,mPci,mEarfcn,rssi,rsrp,rsrq,rssnr,lteLevel,Cell_mPci,Cell_rssi,Cell_rsrp,Cell_rsrq
42,1685649857.213562000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
43,1685649857.252024000,142.250.72.164,10.215.173.1,132,64,0,38.462,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
44,1685649858.214661000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
45,1685649858.252986000,142.250.72.164,10.215.173.1,132,64,0,38.325,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
46,1685649859.215773000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
47,1685649859.252173000,142.250.72.164,10.215.173.1,132,64,0,36.4,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
48,1685649860.216982000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
49,1685649860.253056000,142.250.72.164,10.215.173.1,132,64,0,36.074,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
50,1685649861.218427000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
51,1685649861.261857000,142.250.72.164,10.215.173.1,132,64,0,43.43,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
52,1685649862.220279000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
53,1685649862.271126000,142.250.72.164,10.215.173.1,132,64,0,50.847,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
54,1685649863.221244000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
55,1685649863.278731000,142.250.72.164,10.215.173.1,132,64,0,57.487,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
56,1685649864.222685000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
