Pkt_no,Time,src,dst,length,ttl,Type,RTT,Time,Loc,mVoiceRegState,mDataRegState,mChannelNumber,mPci,mEarfcn,mCellBandwidths,rssi,rsrp,rsrq,rssnr,lteLevel,rat,mPci,mEarfcn,rssi,rsrp,rsrq
817,1684946346.510376000,172.217.14.68,10.215.173.1,132,64,0,38.271,1684946348.967625,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
818,1684946347.473355000,10.215.173.1,172.217.14.68,132,64,8,,1684946349.254428,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
819,1684946347.510142000,172.217.14.68,10.215.173.1,132,64,0,36.787,1684946350.4175491,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
820,1684946348.475198000,10.215.173.1,172.217.14.68,132,64,8,,1684946350.7273018,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
821,1684946348.519266000,172.217.14.68,10.215.173.1,132,64,0,44.068,1684946351.1086972,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
822,1684946349.477118000,10.215.173.1,172.217.14.68,132,64,8,,1684946351.420028,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
823,1684946349.519448000,172.217.14.68,10.215.173.1,132,64,0,42.33,1684946351.767964,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
824,1684946350.478699000,10.215.173.1,172.217.14.68,132,64,8,,1684946352.1683981,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
825,1684946350.520289000,172.217.14.68,10.215.173.1,132,64,0,41.59,1684946353.3685708,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
826,1684946351.480686000,10.215.173.1,172.217.14.68,132,64,8,,1684946353.6580548,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
827,1684946351.520507000,172.217.14.68,10.215.173.1,132,64,0,39.821,1684946353.966059,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
828,1684946352.481624000,10.215.173.1,172.217.14.68,132,64,8,,1684946354.360375,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
829,1684946352.520380000,172.217.14.68,10.215.173.1,132,64,0,38.756,1684946355.5550349,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
830,1684946353.482516000,10.215.173.1,172.217.14.68,132,64,8,,1684946355.824167,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
831,1684946353.520404000,172.217.14.68,10.215.173.1,132,64,0,37.888,1684946356.251282,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
832,1684946354.482967000,10.215.173.1,172.217.14.68,132,64,8,,1684946356.582259,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
833,1684946354.520338000,172.217.14.68,10.215.173.1,132,64,0,37.371,1684946356.92958,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
834,1684946355.484876000,10.215.173.1,172.217.14.68,132,64,8,,1684946357.3590488,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
835,1684946355.530566000,172.217.14.68,10.215.173.1,132,64,0,45.69,1684946358.542086,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
836,1684946356.486836000,10.215.173.1,172.217.14.68,132,64,8,,1684946358.8238459,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
837,1684946356.529369000,172.217.14.68,10.215.173.1,132,64,0,42.533,1684946359.1053061,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
838,1684946357.488361000,10.215.173.1,172.217.14.68,132,64,8,,1684946359.416938,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
839,1684946357.530421000,172.217.14.68,10.215.173.1,132,64,0,42.06,1684946359.803565,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
840,1684946358.489613000,10.215.173.1,172.217.14.68,132,64,8,,1684946360.110912,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
841,1684946358.546147000,172.217.14.68,10.215.173.1,132,64,0,56.534,1684946361.305703,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
842,1684946359.491055000,10.215.173.1,172.217.14.68,132,64,8,,1684946361.580008,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
843,1684946359.530184000,172.217.14.68,10.215.173.1,132,64,0,39.129,1684946361.971623,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
844,1684946360.492222000,10.215.173.1,172.217.14.68,132,64,8,,1684946362.306537,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
845,1684946360.529349000,172.217.14.68,10.215.173.1,132,64,0,37.127,1684946363.513076,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
846,1684946361.493519000,10.215.173.1,172.217.14.68,132,64,8,,1684946363.868008,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
847,1684946361.530330000,172.217.14.68,10.215.173.1,132,64,0,36.811,1684946364.1863308,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
848,1684946362.495467000,10.215.173.1,172.217.14.68,132,64,8,,1684946364.549758,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
849,1684946362.540579000,172.217.14.68,10.215.173.1,132,64,0,45.112,1684946364.971005,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
850,1684946363.497430000,10.215.173.1,172.217.14.68,132,64,8,,1684946365.2528598,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
851,1684946363.540274000,172.217.14.68,10.215.173.1,132,64,0,42.844,1684946366.484458,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,26,5,423,975,-51,-74,-8
852,1684946364.499437000,10.215.173.1,172.217.14.68,132,64,8,,1684946366.779904,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,26,5,423,975,-51,-74,-8
853,1684946364.540150000,172.217.14.68,10.215.173.1,132,64,0,40.713,1684946367.2067158,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,26,5,423,975,-51,-74,-8
854,1684946365.502256000,10.215.173.1,172.217.14.68,132,64,8,,1684946367.534076,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,26,5,423,975,-51,-74,-8
855,1684946365.539279000,172.217.14.68,10.215.173.1,132,64,0,37.023,1684946367.857846,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,26,5,423,975,-51,-74,-8
856,1684946366.503051000,10.215.173.1,172.217.14.68,132,64,8,,1684946368.229161,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
857,1684946366.540185000,172.217.14.68,10.215.173.1,132,64,0,37.134,1684946369.4286048,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
858,1684946367.504861000,10.215.173.1,172.217.14.68,132,64,8,,1684946369.721869,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
859,1684946367.549219000,172.217.14.68,10.215.173.1,132,64,0,44.358,1684946370.033983,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
860,1684946368.505573000,10.215.173.1,172.217.14.68,132,64,8,,1684946370.415242,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
861,1684946368.550189000,172.217.14.68,10.215.173.1,132,64,0,44.616,1684946370.726936,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
862,1684946369.507237000,10.215.173.1,172.217.14.68,132,64,8,,1684946371.033225,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-8
863,1684946369.550192000,172.217.14.68,10.215.173.1,132,64,0,42.955,1684946372.273203,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
864,1684946370.509053000,10.215.173.1,172.217.14.68,132,64,8,,1684946372.6625721,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
865,1684946370.550210000,172.217.14.68,10.215.173.1,132,64,0,41.157,1684946373.006491,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
866,1684946371.510455000,10.215.173.1,172.217.14.68,132,64,8,,1684946373.320076,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
867,1684946371.549221000,172.217.14.68,10.215.173.1,132,64,0,38.766,1684946374.554678,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
868,1684946372.512457000,10.215.173.1,172.217.14.68,132,64,8,,1684946374.941211,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
869,1684946372.549702000,172.217.14.68,10.215.173.1,132,64,0,37.245,1684946375.2468832,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
870,1684946373.514088000,10.215.173.1,172.217.14.68,132,64,8,,1684946375.573771,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
871,1684946373.550044000,172.217.14.68,10.215.173.1,132,64,0,35.956,1684946376.021566,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
872,1684946374.516036000,10.215.173.1,172.217.14.68,132,64,8,,1684946376.29884,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
873,1684946374.559237000,172.217.14.68,10.215.173.1,132,64,0,43.201,1684946377.4565172,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
874,1684946375.517689000,10.215.173.1,172.217.14.68,132,64,8,,1684946377.734976,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
875,1684946375.561085000,172.217.14.68,10.215.173.1,132,64,0,43.396,1684946378.150908,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
876,1684946376.519765000,10.215.173.1,172.217.14.68,132,64,8,,1684946378.445719,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
877,1684946376.560194000,172.217.14.68,10.215.173.1,132,64,0,40.429,1684946378.745898,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
878,1684946377.521642000,10.215.173.1,172.217.14.68,132,64,8,,1684946379.1210308,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
879,1684946377.551041000,172.217.14.68,10.215.173.1,132,64,0,29.399,1684946380.34396,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
880,1684946378.522876000,10.215.173.1,172.217.14.68,132,64,8,,1684946380.656822,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-9,26,5,423,975,-51,-74,-9
881,1684946378.560251000,172.217.14.68,10.215.173.1,132,64,0,37.375,1684946381.011768,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
882,1684946379.525609000,10.215.173.1,172.217.14.68,132,64,8,,1684946381.386276,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
883,1684946379.570233000,172.217.14.68,10.215.173.1,132,64,0,44.624,1684946382.6342232,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
884,1684946380.527628000,10.215.173.1,172.217.14.68,132,64,8,,1684946382.8976798,"40.493943,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
885,1684946380.569420000,172.217.14.68,10.215.173.1,132,64,0,41.792,1684946383.22749,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
886,1684946381.529223000,10.215.173.1,172.217.14.68,132,64,8,,1684946383.681324,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
887,1684946381.569603000,172.217.14.68,10.215.173.1,132,64,0,40.38,1684946384.012602,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
888,1684946382.531195000,10.215.173.1,172.217.14.68,132,64,8,,1684946384.258157,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
889,1684946382.570187000,172.217.14.68,10.215.173.1,132,64,0,38.992,1684946385.6368032,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
890,1684946383.533399000,10.215.173.1,172.217.14.68,132,64,8,,1684946385.930055,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
891,1684946383.570125000,172.217.14.68,10.215.173.1,132,64,0,36.726,1684946386.228373,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
892,1684946384.534385000,10.215.173.1,172.217.14.68,132,64,8,,1684946386.554545,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-8
893,1684946384.570298000,172.217.14.68,10.215.173.1,132,64,0,35.913,1684946386.979936,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-8
894,1684946385.536280000,10.215.173.1,172.217.14.68,132,64,8,,1684946387.323476,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-8
895,1684946385.579179000,172.217.14.68,10.215.173.1,132,64,0,42.899,1684946388.5672379,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-8
896,1684946386.538829000,10.215.173.1,172.217.14.68,132,64,8,,1684946388.962584,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-8
897,1684946386.580184000,172.217.14.68,10.215.173.1,132,64,0,41.355,1684946389.27954,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-8
898,1684946387.540474000,10.215.173.1,172.217.14.68,132,64,8,,1684946389.6207051,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-8
899,1684946387.580287000,172.217.14.68,10.215.173.1,132,64,0,39.813,1684946390.0500412,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-8
900,1684946388.541904000,10.215.173.1,172.217.14.68,132,64,8,,1684946390.3192031,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-8
901,1684946388.580009000,172.217.14.68,10.215.173.1,132,64,0,38.105,1684946391.5691662,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-8
902,1684946389.543099000,10.215.173.1,172.217.14.68,132,64,8,,1684946391.8779252,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
903,1684946389.578974000,172.217.14.68,10.215.173.1,132,64,0,35.875,1684946392.250754,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
904,1684946390.544575000,10.215.173.1,172.217.14.68,132,64,8,,1684946392.5772212,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
905,1684946390.579304000,172.217.14.68,10.215.173.1,132,64,0,34.729,1684946392.8879611,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
906,1684946391.545852000,10.215.173.1,172.217.14.68,132,64,8,,1684946393.3372679,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
907,1684946391.590323000,172.217.14.68,10.215.173.1,132,64,0,44.471,1684946394.633187,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
908,1684946392.546903000,10.215.173.1,172.217.14.68,132,64,8,,1684946394.898274,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
909,1684946392.590205000,172.217.14.68,10.215.173.1,132,64,0,43.302,1684946395.220602,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
910,1684946393.547425000,10.215.173.1,172.217.14.68,132,64,8,,1684946395.6716301,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
911,1684946393.589256000,172.217.14.68,10.215.173.1,132,64,0,41.831,1684946395.978952,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
912,1684946394.549241000,10.215.173.1,172.217.14.68,132,64,8,,1684946396.2970529,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
913,1684946394.590041000,172.217.14.68,10.215.173.1,132,64,0,40.8,1684946397.671954,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
914,1684946395.550625000,10.215.173.1,172.217.14.68,132,64,8,,1684946397.984195,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
915,1684946395.591058000,172.217.14.68,10.215.173.1,132,64,0,40.433,1684946398.320711,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
916,1684946396.551951000,10.215.173.1,172.217.14.68,132,64,8,,1684946398.6830988,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
917,1684946396.590988000,172.217.14.68,10.215.173.1,132,64,0,39.037,1684946398.9692988,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
918,1684946397.553771000,10.215.173.1,172.217.14.68,132,64,8,,1684946399.2241962,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
919,1684946397.590396000,172.217.14.68,10.215.173.1,132,64,0,36.625,1684946400.485834,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
920,1684946398.555187000,10.215.173.1,172.217.14.68,132,64,8,,1684946400.85459,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
921,1684946398.599376000,172.217.14.68,10.215.173.1,132,64,0,44.189,1684946401.173483,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
922,1684946399.557069000,10.215.173.1,172.217.14.68,132,64,8,,1684946401.504098,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
923,1684946399.598784000,172.217.14.68,10.215.173.1,132,64,0,41.715,1684946401.828247,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
924,1684946400.558570000,10.215.173.1,172.217.14.68,132,64,8,,1684946402.2052329,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
925,1684946400.599235000,172.217.14.68,10.215.173.1,132,64,0,40.665,1684946403.48035,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
926,1684946401.560017000,10.215.173.1,172.217.14.68,132,64,8,,1684946403.754025,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-75,-9,24,5,423,975,-51,-74,-9
927,1684946401.605219000,172.217.14.68,10.215.173.1,132,64,0,45.202,1684946404.1277912,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-10,25,5,423,975,-51,-74,-9
928,1684946402.561741000,10.215.173.1,172.217.14.68,132,64,8,,1684946404.454032,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-10,25,5,423,975,-51,-74,-9
929,1684946402.601016000,172.217.14.68,10.215.173.1,132,64,0,39.275,1684946404.746762,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-10,25,5,423,975,-51,-74,-9
930,1684946403.563920000,10.215.173.1,172.217.14.68,132,64,8,,1684946405.031157,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-10,25,5,423,975,-51,-74,-9
931,1684946403.600330000,172.217.14.68,10.215.173.1,132,64,0,36.41,1684946406.36759,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-10,25,5,423,975,-51,-74,-9
932,1684946404.565408000,10.215.173.1,172.217.14.68,132,64,8,,1684946406.683954,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-10,25,5,423,975,-51,-74,-9
933,1684946404.610022000,172.217.14.68,10.215.173.1,132,64,0,44.614,1684946406.99662,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-10,25,5,423,975,-51,-74,-9
934,1684946405.567414000,10.215.173.1,172.217.14.68,132,64,8,,1684946407.400987,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-10,25,5,423,975,-51,-74,-9
935,1684946405.609255000,172.217.14.68,10.215.173.1,132,64,0,41.841,1684946408.673756,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-10,25,5,423,975,-51,-74,-9
936,1684946406.568930000,10.215.173.1,172.217.14.68,132,64,8,,1684946408.9524338,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-10,25,5,423,975,-51,-74,-9
937,1684946406.609135000,172.217.14.68,10.215.173.1,132,64,0,40.205,1684946409.235713,"40.493942,-111.865845",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-74,-10,25,5,423,975,-51,-74,-9
